"","x"
"485","POLE2"
"486","GNPNAT1"
"487","ATP6V1D"
"488","GSTZ1"
"489","KIAA0586"
"490","ITPK1"
"491","DHRS7"
"492","CEP128"
"493","MTHFD1"
"494","ZC3H14"
"495","PSMB5"
"496","EFS"
"497","DHRS2"
"498","PRORP"
"499","EMC9"
"500","TM9SF1"
"501","TRPC4AP"
"502","CD40"
"503","IFT52"
"504","MYBL2"
"505","SALL4"
"506","DOK5"
"507","TPD52L2"
"508","DNAJC5"
"509","PRELID3B"
"510","MRGBP"
"511","GID8"
"512","ARFGAP1"
"513","ARFRP1"
"514","FERMT1"
"515","KIF3B"
"516","NOP56"
"517","MAPRE1"
"518","CDK5RAP1"
"519","SNTA1"
"520","FAM83D"
"521","DNTTIP1"
"522","LPIN2"
"523","SMCHD1"
"524","RNF125"
"525","RIOK3"
"526","ATG4A"
"527","GPR143"
"528","WDR13"
"529","PLP2"
"530","SMARCA1"
"531","RBBP7"
"532","KCND1"
"533","SCML2"
"534","PCSK1N"
"535","JADE3"
"536","PCYT1B"
"537","FGD1"
"538","PORCN"
"539","NDFIP2"
"540","TNFSF13B"
"541","FNDC3A"
"542","RGCC"
"543","INTS6"
"544","TSC22D1"
"545","CLN5"
"546","MAPK3"
"547","PHKB"
"548","LYRM1"
"549","NUP93"
"550","NFAT5"
"551","ARL2BP"
"552","ZNF423"
"553","MMP15"
"554","NME3"
"555","PSMD7"
"556","VAC14"
"557","HAS3"
"558","SLC7A6"
"559","WDR59"
"560","MON1B"
"561","AXIN1"
"562","NPRL3"
"563","WFDC1"
"564","NME4"
"565","CLCN7"
"566","HAGHL"
"567","RHBDL1"
"568","PIEZO1"
"569","EARS2"
"570","CPPED1"
"571","BFAR"
"572","QPRT"
"573","RNF40"
"574","KNOP1"
"575","CSK"
"576","IGDCC4"
"577","RAB11A"
"578","CTSH"
"579","TTC23"
"580","CD276"
"581","FAH"
"582","EHD4"
"583","CEP152"
"584","TJP1"
"585","CPQ"
"586","DECR1"
"587","IMPAD1"
"588","SFRP1"
"589","NIPAL2"
"590","EEF1D"
"591","SH2D4A"
"592","SLC39A14"
"593","PPP2CB"
"594","NEFM"
"595","KLHDC4"
"596","CLPTM1"
"597","PPP1R37"
"598","PEX11G"
"599","DOT1L"
"600","DKKL1"
"601","STX10"
"602","PTOV1"
"603","CCDC61"
"604","C19orf44"
"605","AKAP8"
"606","ILVBL"
"607","SYDE1"
"608","POP4"
"609","CCNE1"
"610","URI1"
"611","PIAS4"
"612","CLIP3"
"613","PRKD2"
"614","CCDC9"
"615","HNRNPUL1"
"616","FZR1"
"617","CNFN"
"618","KDELR1"
"619","CYTH2"
"620","GRIN2D"
"621","CLEC11A"
"622","DBP"
"623","BCAT2"
"624","WDR83OS"
"625","GCDH"
"626","MAST1"
"627","PRPF31"
"628","CRTC1"
"629","ETV2"
"630","USF2"
"631","SCN1B"
"632","CADM4"
"633","SMG9"
"634","ITGB8"
"635","SP4"
"636","WDR91"
"637","MTPN"
"638","GSDME"
"639","MET"
"640","IQCE"
"641","SSBP1"
"642","TAX1BP1"
"643","CPVL"
"644","GRB10"
"645","ABHD11"
"646","PLEKHA8"
"647","EPHB6"
"648","CASP2"
"649","HSPB1"
"650","NPTX2"
"651","EIF3B"
"652","SNX8"
"653","PTPRZ1"
"654","TAF6"
"655","WASL"
"656","PCOLCE"
"657","TMEM106B"
"658","ZNF862"
"659","MEST"
"660","ANKMY2"
"661","TSPAN13"
"662","BLVRA"
"663","AEBP1"
"664","MYL7"
"665","BCL7B"
"666","TMEM245"
"667","SEC61B"
"668","SUSD1"
"669","AKNA"
"670","AK1"
"671","KDM4C"
"672","CREB3"
"673","DDX58"
"674","GLIS3"
"675","NPDC1"
"676","ABCA2"
"677","CCNJ"
"678","ATRNL1"
"679","ERLIN1"
"680","TRDMT1"
"681","SEC23IP"
"682","MICU1"
"683","ACTA2"
"684","GBF1"
"685","CUEDC2"
"686","PITRM1"
"687","XPNPEP1"
"688","SMC3"
"689","UBE2S"
"690","TBC1D12"
"691","CASC3"
"692","TRIM37"
"693","CBX1"
"694","MED13"
"695","RAI1"
"696","NUP88"
"697","C1QBP"
"698","BLMH"
"699","MED31"
"700","DDX5"
"701","KAT2A"
"702","CNTNAP1"
"703","RND2"
"704","SMURF2"
"705","PRKAR1A"
"706","RANGRF"
"707","MAP2K6"
"708","TMEM104"
"709","VTN"
"710","PMP22"
"711","UNC119"
"712","RAB34"
"713","PHF12"
"714","DCUN1D4"
"715","CHIC2"
"716","CRACD"
"717","PF4V1"
"718","KLHL2"
"719","WFS1"
"720","TRIM2"
"721","NSD2"
"722","SH3D19"
"723","STIM2"
"724","SNX25"
"725","UFSP2"
"726","FAM149A"
"727","CRYAB"
"728","CCDC34"
"729","FNBP4"
"730","UNC93B1"
"731","KMT5B"
"732","CPT1A"
"733","TMEM109"
"734","TRIM3"
"735","RNF141"
"736","BIRC2"
"737","CBL"
"738","NECTIN1"
"739","COMMD9"
"740","ACCS"
"741","AMBRA1"
"742","NUP98"
"743","NDUFS8"
"744","CHKA"
"745","P3H3"
"746","CLEC2B"
"747","CAPRIN2"
"748","KCTD10"
"749","CAMKK2"
"750","KRT18"
"751","ACSS3"
"752","TNS2"
"753","FOXM1"
"754","VPS29"
"755","MANSC1"
"756","CDKN1B"
"757","LTBR"
"758","OGFOD2"
"759","CDK2AP1"
"760","MDM1"
"761","NUP107"
"762","TIMELESS"
"763","CPSF6"
"764","CHD4"
"765","COPS7A"
"766","CDCA3"
"767","CHPT1"
"768","USP5"
"769","TPI1"
"770","GNPTAB"
"771","SPSB2"
"772","CMAS"
"773","HCFC2"
"774","C2CD5"
"775","PHC1"
"776","RWDD1"
"777","CEP85L"
"778","MCM9"
"779","FAM184A"
"780","RNGTT"
"781","SERINC1"
"782","HDDC2"
"783","HINT3"
"784","RIPOR2"
"785","SASH1"
"786","MTRF1L"
"787","PPARD"
"788","FANCE"
"789","KCTD20"
"790","SOD2"
"791","MCM3"
"792","PHACTR1"
"793","SAYSD1"
"794","FBXL4"
"795","E2F3"
"796","ASCC3"
"797","CRYBG1"
"798","GMNN"
"799","PEX7"
"800","ZBTB24"
"801","QKI"
"802","PPP2R5D"
"803","SRF"
"804","TMEM30A"
"805","SLC29A1"
"806","TENT5A"
"807","PRSS16"
"808","ERBIN"
"809","NUDT12"
"810","MAN2A1"
"811","TENT4A"
"812","HMGCS1"
"813","DAP"
"814","MRPS30"
"815","LOX"
"816","HMGCR"
"817","ARSB"
"818","RASGRF2"
"819","NPR3"
"820","SLC12A7"
"821","WWC1"
"822","MACROH2A1"
"823","TCERG1"
"824","DPYSL3"
"825","SMAD5"
"826","CSNK1A1"
"827","ATP6V0E1"
"828","BNIP1"
"829","ZNF346"
"830","SMC4"
"831","AMOTL2"
"832","NIT2"
"833","CEP70"
"834","RBP1"
"835","SLC25A36"
"836","RNF7"
"837","BCHE"
"838","WNT5A"
"839","GNAI2"
"840","BBX"
"841","IFT57"
"842","ATP6V1A"
"843","CISH"
"844","WDR48"
"845","ABCC5"
"846","ARHGEF26"
"847","EIF4G1"
"848","INO80D"
"849","TTL"
"850","SLC35F5"
"851","ACTR3"
"852","CENPA"
"853","EIF2B4"
"854","ITGA4"
"855","PSMD14"
"856","IFIH1"
"857","INO80B"
"858","GRB14"
"859","CLIP4"
"860","SPTBN1"
"861","AUP1"
"862","LOXL3"
