"","x"
"922","ABTB1"
"923","PODXL2"
"924","KLHL18"
"925","SCAP"
"926","HEMK1"
"927","MAPKAPK3"
"928","ACVR2B"
"929","COMMD2"
"930","RRP9"
"931","ABHD14B"
"932","EIF1B"
"933","KLHL24"
"934","SSR3"
"935","NEK4"
"936","SLC4A3"
"937","EEF1B2"
"938","ADAM23"
"939","DGUOK"
"940","MOB1A"
"941","KANSL3"
"942","FAHD2A"
"943","ACTR3"
"944","STEAP3"
"945","TP53I3"
"946","ACVR1"
"947","FNDC4"
"948","ITGA4"
"949","PCSK4"
"950","GCA"
"951","EVA1A"
"952","MRPL19"
"953","EFEMP1"
"954","FN1"
"955","STAT1"
"956","GLS"
"957","IGFBP2"
"958","EFHD1"
"959","CHST10"
"960","IL1R1"
"961","MLPH"
"962","UXS1"
"963","STK16"
"964","PPP1R7"
"965","DCAF17"
"966","RMDN2"
"967","DLX2"
"968","DARS1"
"969","TRAK2"
"970","MSH6"
"971","PLEKHA3"
"972","DHCR24"
"973","LRRC42"
"974","MRPL37"
"975","STXBP3"
"976","MECR"
"977","WDR77"
"978","ATP5PB"
"979","HDAC1"
"980","SCAMP3"
"981","TRIM62"
"982","SFPQ"
"983","ARHGEF2"
"984","SRM"
"985","FBXO2"
"986","C1orf21"
"987","SWT1"
"988","LEPR"
"989","IVNS1ABP"
"990","SMG7"
"991","GADD45A"
"992","RGS2"
"993","CTH"
"994","PHTF1"
"995","CD58"
"996","TMEM9"
"997","MRPS15"
"998","GNPAT"
"999","TSNAX"
"1000","RRAGC"
"1001","AKT3"
"1002","ST6GALNAC5"
"1003","MFAP2"
"1004","KDM5B"
"1005","RGS4"
"1006","GBP1"
"1007","HMGCL"
"1008","GALE"
"1009","P3H1"
"1010","SLC2A1"
"1011","BLZF1"
"1012","F3"
"1013","DARS2"
"1014","UTP25"
"1015","RCOR3"
"1016","STMN1"
"1017","DHDDS"
"1018","NSL1"
"1019","CD3EAP"
"1020","RCN2"
"1021","STAG1"
"1022","STK11"
"1023","DDX59"
"1024","ATF6"
"1025","B4GALT6"
"1026","C1orf54"
"1027","HMGN3"
"1028","PHF3"
"1029","PLAGL1"
"1030","TNFAIP3"
"1031","AKAP7"
"1032","RNF146"
"1033","CCN2"
"1034","MED28"
"1035","MYL12B"
"1036","FOXO3"
"1037","RAB3GAP2"
"1038","PPL"
"1039","KLF12"
"1040","HS1BP3"
"1041","NDUFB3"
"1042","UBE2B"
"1043","KLF9"
"1044","C1orf198"
"1045","TRIM32"
"1046","C19orf25"
"1047","FCF1"
"1048","IFI27L2"
"1049","NEK9"
"1050","NPC2"
"1051","DNAL1"
"1052","DLST"
"1053","ALDH6A1"
"1054","YPEL5"
"1055","YIPF4"
"1056","BCL11A"
"1057","IFIT3"
"1058","CUTC"
"1059","PYROXD2"
"1060","TCTN3"
"1061","AVPI1"
"1062","GOT1"
"1063","HOXB5"
"1064","HOXB3"
"1065","RCL1"
"1066","NUP43"
"1067","MTHFD1L"
"1068","CYSTM1"
"1069","CENPL"
"1070","SNX19"
"1071","KIAA1217"
"1072","CCDC77"
"1073","DNAJC15"
"1074","PROSER1"
"1075","UFM1"
"1076","ELF1"
"1077","KDM3B"
"1078","NR2C1"
"1079","GLT8D2"
"1080","MTERF2"
"1081","NFYB"
"1082","WASHC3"
"1083","TNFRSF10B"
"1084","PPP3CC"
"1085","PDLIM2"
"1086","AKAP1"
"1087","COIL"
"1088","TRIM25"
"1089","FAM117A"
"1090","PSPC1"
"1091","A1BG"
"1092","ZNF211"
"1093","RNF2"
"1094","SEC22A"
"1095","PILRB"
"1096","TBC1D15"
"1097","ADGRB2"
"1098","POLR3GL"
"1099","PIK3CA"
"1100","TMEM54"
"1101","LRIF1"
"1102","CLCC1"
"1103","MTIF3"
"1104","RASL11A"
"1105","MTERF4"
"1106","MRPS2"
"1107","ANXA11"
"1108","SHLD2"
"1109","TRMT13"
"1110","SLC66A2"
"1111","HERPUD2"
"1112","HNRNPA2B1"
"1113","INHBA"
"1114","TWIST1"
"1115","SLC25A51"
"1116","ACO1"
"1117","KIAA1549"
"1118","CALD1"
"1119","SRGN"
"1120","CHST3"
"1121","BICC1"
"1122","P4HA1"
"1123","SLC25A16"
"1124","VPS26A"
"1125","RBM19"
"1126","RNF11"
"1127","SSPN"
"1128","PRDX4"
"1129","WDR83"
"1130","NLN"
