"","x"
"775","MAPK8"
"776","ATE1"
"777","NSMCE4A"
"778","UNC5B"
"779","VSIR"
"780","PPP3CB"
"781","CCSER2"
"782","KAZALD1"
"783","NPM3"
"784","FBXL15"
"785","SUFU"
"786","LHPP"
"787","LARP4B"
"788","GTPBP4"
"789","EDRF1"
"790","SH3PXD2A"
"791","STN1"
"792","CCDC6"
"793","CUL2"
"794","CCNY"
"795","ZMIZ1"
"796","PPIF"
"797","PBLD"
"798","TSPAN14"
"799","NUFIP2"
"800","WNT3"
"801","RAD51C"
"802","TUBD1"
"803","KPNB1"
"804","PNPO"
"805","RECQL5"
"806","PIGL"
"807","GALK1"
"808","INTS2"
"809","ENO3"
"810","RNF167"
"811","CPD"
"812","GOSR1"
"813","SYNGR2"
"814","UTP6"
"815","CCL2"
"816","DHX58"
"817","MLX"
"818","VAT1"
"819","ABCC3"
"820","EFTUD2"
"821","EFNB3"
"822","FAM20A"
"823","DHRS7B"
"824","TNFAIP1"
"825","TMEM97"
"826","ALDOC"
"827","USP46"
"828","NFKB1"
"829","MANBA"
"830","ELF2"
"831","GRPEL1"
"832","FRG1"
"833","CLCN3"
"834","AADAT"
"835","GALNT7"
"836","DHX15"
"837","SOD3"
"838","TBC1D19"
"839","MFSD10"
"840","GLRB"
"841","BST1"
"842","UGDH"
"843","CTSC"
"844","ELP4"
"845","MTCH2"
"846","VWA5A"
"847","DNAJC4"
"848","SIAE"
"849","EHD1"
"850","PUS3"
"851","DCPS"
"852","FOXRED1"
"853","PPP6R3"
"854","CCND1"
"855","CHORDC1"
"856","PANX1"
"857","ARHGEF17"
"858","UBE4A"
"859","KIAA1549L"
"860","FBXO3"
"861","SLC15A3"
"862","PTPMT1"
"863","CARS1"
"864","PITPNM1"
"865","NUP98"
"866","EXPH5"
"867","HPS5"
"868","PSMD9"
"869","PRDM4"
"870","CORO1C"
"871","ASIC1"
"872","SLC11A2"
"873","MVK"
"874","BCL7A"
"875","LIN7A"
"876","GLI1"
"877","PPM1H"
"878","WNT5B"
"879","ARPC3"
"880","ACAD10"
"881","ALDH2"
"882","NAA25"
"883","ARHGDIB"
"884","GTF2H3"
"885","DDX55"
"886","SLC38A1"
"887","C12orf49"
"888","RFC5"
"889","STX2"
"890","CAND1"
"891","GAPDH"
"892","TPI1"
"893","ENO2"
"894","LPCAT3"
"895","NT5DC3"
"896","FGFR1OP2"
"897","COL12A1"
"898","PAK1IP1"
"899","MAN1A1"
"900","UST"
"901","MAPK14"
"902","MRPL18"
"903","FBXO9"
"904","CD83"
"905","CAP2"
"906","GPR63"
"907","MED23"
"908","GPLD1"
"909","ALDH5A1"
"910","B3GAT2"
"911","SNX3"
"912","TRIM38"
"913","ZBTB24"
"914","PERP"
"915","ADGRG6"
"916","CUTA"
"917","MDFI"
"918","TFEB"
