"","x"
"588","TBL2"
"589","SPATA6L"
"590","SPIN1"
"591","MEGF9"
"592","TRIM14"
"593","TLE4"
"594","PTGR1"
"595","DNM1"
"596","KANK1"
"597","FUBP3"
"598","MPDZ"
"599","GLIS3"
"600","BAG1"
"601","SETX"
"602","PTGDS"
"603","ABHD17B"
"604","EXOSC3"
"605","RAB11FIP2"
"606","CXCL12"
"607","MAPK8"
"608","ATE1"
"609","NSMCE4A"
"610","UNC5B"
"611","VSIR"
"612","PPP3CB"
"613","CCSER2"
"614","KAZALD1"
"615","LARP4B"
"616","GTPBP4"
"617","SH3PXD2A"
"618","CCNY"
"619","ZMIZ1"
"620","PPIF"
"621","PBLD"
"622","TSPAN14"
"623","NUFIP2"
"624","SEPTIN4"
"625","RECQL5"
"626","PIGL"
"627","GALK1"
"628","INTS2"
"629","HOXB6"
"630","ENO3"
"631","GOSR1"
"632","CCL2"
"633","EZH1"
"634","HDAC5"
"635","ABCC3"
"636","EFTUD2"
"637","FAM20A"
"638","TNFAIP1"
"639","TMEM97"
"640","USP46"
"641","NFKB1"
"642","MANBA"
"643","ELF2"
"644","INPP4B"
"645","CPE"
"646","GRPEL1"
"647","FRG1"
"648","AADAT"
"649","TBC1D19"
"650","GLRB"
"651","BST1"
"652","KLF3"
"653","UGDH"
"654","CCDC34"
"655","ZBTB16"
"656","ELP4"
"657","VWA5A"
"658","DNAJC4"
"659","SIAE"
"660","ATG2A"
"661","EHD1"
"662","DCPS"
"663","FOXRED1"
"664","ST3GAL4"
"665","CCND1"
"666","CCDC86"
"667","FBXO3"
"668","SLC15A3"
"669","MADD"
"670","PTPMT1"
"671","CARS1"
"672","SOX6"
"673","EXPH5"
"674","HPS5"
"675","PSMD9"
"676","P3H3"
"677","PRDM4"
"678","CORO1C"
"679","MVK"
"680","BCL7A"
"681","WNT5B"
"682","ACAD10"
"683","ALDH2"
"684","ARHGDIB"
"685","SLC38A1"
"686","C12orf49"
"687","RFC5"
"688","STX2"
"689","GAPDH"
"690","ENO2"
"691","LPCAT3"
"692","NT5DC3"
"693","PRKAB1"
"694","FGFR1OP2"
"695","COL12A1"
"696","ASF1A"
"697","MAN1A1"
"698","TPD52L1"
"699","UST"
"700","ULBP1"
"701","MAPK14"
"702","RBM24"
"703","CAP2"
"704","GPR63"
"705","E2F3"
"706","ALDH5A1"
"707","SNX3"
"708","TRIM38"
"709","ZBTB24"
"710","PERP"
"711","HECA"
"712","CUTA"
"713","MDFI"
"714","TFEB"
"715","CCND3"
"716","PTK7"
"717","DNPH1"
"718","DUSP22"
"719","GMDS"
"720","VEGFA"
"721","PCDHB2"
"722","SEMA5A"
"723","HSPA9"
"724","MRPS27"
"725","HBEGF"
"726","TMCO6"
"727","IK"
"728","CERT1"
"729","CLK4"
"730","THG1L"
"731","TARS1"
"732","LNPEP"
"733","RAD1"
"734","RAD50"
"735","GNPDA1"
"736","NUP155"
"737","FGF1"
"738","LIFR"
"739","TRAPPC13"
"740","ERGIC1"
"741","BNIP1"
"742","STC2"
"743","DBN1"
"744","TIMMDC1"
"745","FAM162A"
"746","TFDP2"
"747","PRKAR2A"
"748","ECT2"
"749","C3orf14"
"750","CBLB"
"751","GNB4"
"752","IQCG"
"753","NCBP2"
"754","SLC41A3"
"755","PLXNA1"
"756","ABTB1"
"757","PODXL2"
"758","SCAP"
"759","HEMK1"
"760","MAPKAPK3"
"761","ACVR2B"
"762","COMMD2"
"763","RRP9"
"764","ABHD14B"
"765","EIF1B"
"766","KLHL24"
"767","SSR3"
"768","NEK4"
"769","ADAM23"
"770","DGUOK"
"771","KANSL3"
"772","FAHD2A"
"773","STEAP3"
"774","TP53I3"
"775","ACVR1"
"776","FNDC4"
"777","ITGA4"
"778","PCSK4"
"779","GCA"
"780","EVA1A"
"781","EFEMP1"
"782","FN1"
"783","STAT1"
"784","GLS"
"785","IGFBP2"
"786","EFHD1"
"787","CHST10"
"788","IL1R1"
"789","MLPH"
"790","UXS1"
