"","x"
"115","HDAC9"
"116","CC2D2A"
"117","VPS13D"
"118","CELF2"
"119","ERCC8"
"120","ADAMTS6"
"121","VAMP3"
"122","LTBP1"
"123","CLPTM1L"
"124","PPP1R3F"
"125","PTCD2"
"126","DKK3"
"127","NFE2L3"
"128","MCUR1"
"129","LETMD1"
"130","HERPUD1"
"131","RAD51"
"132","THOC3"
"133","HEBP2"
"134","MSMO1"
"135","AKR7A2"
"136","USE1"
"137","ANAPC4"
"138","SDCCAG8"
"139","HHAT"
"140","FOXC1"
"141","TBC1D22A"
"142","SYNE2"
"143","FAM168A"
"144","CUL1"
"145","CYFIP2"
"146","USP36"
"147","KMT2C"
"148","DCBLD2"
"149","SOAT1"
"150","PRDM1"
"151","CROCC"
"152","RIOK2"
"153","TARBP1"
"154","OGFR"
"155","PIGV"
"156","SNRNP40"
"157","COL11A1"
"158","MPC1"
"159","BCAT1"
"160","HDAC7"
"161","LZTS1"
"162","CS"
"163","APPBP2"
"164","EIF4B"
"165","BICRA"
"166","CA11"
"167","ISOC2"
"168","U2AF2"
"169","MED29"
"170","GPC1"
"171","ADCK1"
"172","SPA17"
"173","HIPK2"
"174","LPAR2"
"175","TAF11"
"176","SLC9A3R2"
"177","IPO5"
"178","PKN2"
"179","WDR18"
"180","TRAM2"
"181","DGKA"
"182","ANKRD44"
"183","KARS1"
"184","ADAT1"
"185","MYLK"
"186","PACC1"
"187","GSTO2"
"188","FAM107B"
"189","MTHFD2"
"190","SLC9A7"
"191","PDE4A"
"192","ELOVL1"
"193","GOLGA5"
"194","TRMT11"
"195","MSANTD3"
"196","MYO9A"
"197","PKM"
"198","RRP15"
"199","IARS2"
"200","SYT1"
"201","NAV3"
"202","CBFB"
"203","HYAL2"
"204","HDAC4"
"205","IFI35"
"206","ACSL4"
"207","RASGRP2"
"208","IFT80"
"209","ERLEC1"
"210","PPP2R5B"
"211","NUCKS1"
"212","DNAJA2"
"213","TGFBR3"
"214","ATP1B3"
"215","GNB5"
"216","HDHD5"
"217","UFD1"
"218","PFN2"
"219","SLC44A1"
"220","CLTCL1"
"221","FSTL3"
"222","POLB"
"223","WIPI1"
"224","NDST1"
"225","ASNS"
"226","CDC42"
"227","NCK2"
"228","WDR1"
"229","ARHGAP10"
"230","BUD23"
"231","SEL1L"
"232","ATP6AP1"
"233","TCF3"
"234","HLTF"
"235","CYBRD1"
"236","PDCD2"
"237","ACTN1"
"238","EPN2"
"239","PTPN18"
"240","LIMS2"
"241","SPEG"
"242","RHOBTB1"
"243","HSD17B10"
"244","TRHDE"
"245","P4HA2"
"246","ACAP1"
"247","EVC"
"248","TMEM38A"
"249","PVR"
"250","MOV10L1"
"251","PANX2"
"252","SELENOO"
"253","CLCN4"
"254","NLE1"
"255","SDHA"
"256","GSDMB"
"257","IGF2BP2"
"258","ST6GAL1"
"259","PICALM"
"260","MRPS34"
"261","NOTCH3"
"262","CLNS1A"
"263","NUAK1"
"264","SLC24A1"
"265","LMAN1"
"266","ENO1"
"267","TUBE1"
"268","ARHGEF10L"
"269","TIPIN"
"270","SRI"
"271","SEMA3A"
"272","TTC38"
"273","ACAT1"
"274","RASAL2"
"275","MARK3"
"276","SLC25A3"
"277","FOSL2"
"278","MOCOS"
"279","DLG1"
"280","BCAP29"
"281","SEC31B"
"282","REXO2"
"283","BAZ2A"
"284","MLH1"
"285","ACACB"
"286","TRAF4"
"287","GPATCH1"
"288","ICAM3"
"289","MCAM"
"290","GPC4"
"291","MBNL3"
"292","ARHGEF1"
"293","IL4R"
"294","LRCH4"
"295","FAM76B"
"296","POLD3"
"297","SLC25A43"
"298","FGFR1"
"299","ITGA8"
"300","ACER3"
"301","N4BP2"
"302","TULP3"
"303","PPP2R5C"
"304","EDN1"
"305","SDF4"
"306","OSBPL6"
"307","CDC14A"
"308","PGM1"
"309","DNM2"
"310","RABL2B"
"311","KEAP1"
"312","RFX3"
"313","PSEN1"
"314","CPOX"
"315","MOK"
"316","RBL1"
"317","RSBN1"
"318","COL4A4"
"319","STK17B"
"320","ZNF506"
"321","HSPB11"
"322","PHLPP1"
"323","ATP8B1"
"324","BZW1"
