"","x"
"1099","TMEM54"
"1100","LRIF1"
"1101","CLCC1"
"1102","MTIF3"
"1103","RASL11A"
"1104","MTERF4"
"1105","MRPS2"
"1106","ANXA11"
"1107","SHLD2"
"1108","TRMT13"
"1109","SLC66A2"
"1110","HERPUD2"
"1111","HNRNPA2B1"
"1112","INHBA"
"1113","TWIST1"
"1114","SLC25A51"
"1115","ACO1"
"1116","KIAA1549"
"1117","CALD1"
"1118","SRGN"
"1119","CHST3"
"1120","BICC1"
"1121","P4HA1"
"1122","SLC25A16"
"1123","VPS26A"
"1124","RBM19"
"1125","RNF11"
"1126","SSPN"
"1127","PRDX4"
"1128","WDR83"
"1129","NLN"
"1130","CDK2"
"1131","SMUG1"
"1132","EEF1AKMT3"
"1133","NDUFAF4"
"1134","RAB9A"
"1135","METTL8"
"1136","TNFAIP6"
"1137","LPGAT1"
"1138","EXOSC9"
"1139","B9D2"
"1140","COQ8B"
"1141","RAB38"
"1142","MXD4"
"1143","CHPF"
"1144","DNPEP"
"1145","SLC12A4"
"1146","ENKD1"
"1147","WFDC3"
"1148","TTPAL"
"1149","NCOA3"
"1150","TOX2"
"1151","STX16"
"1152","PMEPA1"
"1153","BCAS4"
"1154","NEURL2"
"1155","MTRR"
"1156","IQSEC2"
"1157","MCEE"
"1158","TRERF1"
"1159","BTN2A2"
"1160","SIRT5"
"1161","RRP36"
"1162","NQO2"
"1163","OARD1"
"1164","H2BC11"
"1165","KLHDC3"
"1166","CDKN1A"
"1167","GLO1"
"1168","SSR1"
"1169","LRRFIP1"
"1170","EMC3"
"1171","BBS2"
"1172","ABCC4"
"1173","DMAC2L"
"1174","BMP4"
"1175","SOX9"
"1176","HS3ST3B1"
"1177","GGA3"
"1178","NUP85"
"1179","NT5C"
"1180","MSTO1"
"1181","MBOAT7"
"1182","SLC2A4RG"
"1183","POLR1B"
"1184","SLC25A23"
"1185","GTF2F1"
"1186","RTN2"
"1187","VASP"
"1188","RBCK1"
"1189","TMX4"
"1190","NRSN2"
"1191","RRBP1"
"1192","BMP2"
"1193","DSTN"
"1194","MRPS26"
"1195","NECAB3"
"1196","MMP24OS"
"1197","HECTD3"
"1198","LRFN3"
"1199","UBA2"
"1200","PRDX5"
"1201","IRF3"
"1202","STAT5A"
"1203","AHDC1"
"1204","IFI6"
"1205","UXT"
"1206","ATG14"
"1207","SIX1"
"1208","RHOJ"
"1209","ZBTB1"
"1210","SGPP1"
"1211","PLEKHG3"
"1212","NUP214"
"1213","ARMCX1"
"1214","ZC4H2"
"1215","INTS11"
"1216","HIVEP3"
"1217","COX7C"
"1218","PLAAT1"
"1219","RAB3IP"
"1220","DYRK2"
"1221","FGFRL1"
"1222","PIN1"
"1223","AAMP"
"1224","GNG11"
"1225","SEM1"
"1226","POR"
"1227","STYXL1"
"1228","GNAI1"
"1229","ZFP36"
"1230","RASL11B"
"1231","ADM2"
"1232","ASPHD2"
"1233","YWHAH"
"1234","A4GALT"
"1235","TPST2"
"1236","MPST"
"1237","TST"
"1238","LIF"
"1239","KRT17"
"1240","EMC4"
"1241","LSM8"
"1242","VGF"
"1243","PODXL"
"1244","MKLN1"
"1245","FLNC"
"1246","CALU"
"1247","CCDC136"
"1248","LRRC17"
"1249","MRPS12"
"1250","MYO1B"
"1251","MTX2"
"1252","ORMDL1"
"1253","EIF2AK4"
"1254","ICE2"
"1255","MINDY2"
"1256","CHAC1"
"1257","VPS13C"
"1258","LOXL1"
"1259","ANAPC13"
"1260","PALLD"
"1261","DCTD"
"1262","USP6"
"1263","CD68"
"1264","TXNDC17"
"1265","PHF20L1"
"1266","MTUS1"
"1267","BCL2L2"
"1268","AJUBA"
"1269","DTD2"
"1270","MIS18BP1"
"1271","REEP5"
"1272","RHBDF2"
"1273","TTI2"
"1274","CDKN1C"
"1275","PLPPR3"
"1276","GAMT"
"1277","ECSIT"
"1278","CNN1"
"1279","CDC16"
"1280","LRCH2"
"1281","FAM98C"
"1282","BST2"
"1283","SLC27A1"
"1284","MRPL34"
"1285","MTRES1"
"1286","AFDN"
"1287","ACTN4"
"1288","ARPC1B"
"1289","PXDN"
"1290","GDF15"
"1291","UBAC1"
"1292","HELZ2"
"1293","CEP85"
"1294","OSBPL2"
"1295","CHMP2A"
"1296","UBE2M"
"1297","YIPF2"
"1298","SESN2"
"1299","MED18"
"1300","SHFL"
"1301","SLC6A8"
"1302","PLXNA3"
"1303","ZNF331"
"1304","UBE4B"
"1305","SLC35D2"
"1306","SYNE1"
"1307","EDA2R"
"1308","ZNF141"
"1309","SH3BGRL"
"1310","PRR7"
"1311","NFATC1"
"1312","CAP1"
"1313","PPT1"
"1314","ABCB7"
"1315","HAUS8"
"1316","SH3BP5"
"1317","HACL1"
"1318","RFTN1"
"1319","NR1H2"
"1320","PDLIM4"
"1321","VPS25"
"1322","NDUFA2"
"1323","NDFIP1"
"1324","PPFIA1"
"1325","TRAF7"
"1326","MAP1B"
"1327","IL13RA1"
"1328","ZCCHC9"
"1329","RARA"
"1330","CHD1L"
"1331","PEX11B"
"1332","PIAS3"
"1333","PDHA1"
"1334","MCCC2"
"1335","RHPN2"
"1336","C19orf12"
"1337","FAAP24"
"1338","GCH1"
"1339","LGALS3"
"1340","PODNL1"
"1341","MATN3"
"1342","CCT6B"
"1343","PPARG"
"1344","HSD17B7"
"1345","ENOSF1"
"1346","EFR3A"
"1347","PTPRE"
"1348","CLUH"
"1349","TMEM128"
"1350","POPDC3"
"1351","UTP3"
"1352","WBP2"
"1353","H3-3B"
"1354","TRIM47"
"1355","REEP2"
"1356","PCBD2"
"1357","TERF2"
"1358","MTSS2"
"1359","POLR3F"
"1360","DAP3"
"1361","NES"
"1362","SYT11"
"1363","TOE1"
"1364","ZSWIM3"
"1365","RBM38"
"1366","AP3B1"
"1367","ZBED3"
"1368","CPLANE2"
"1369","DCTN4"
"1370","WASF3"
"1371","MPRIP"
"1372","SLC41A1"
"1373","POSTN"
"1374","TPT1"
"1375","RFC3"
"1376","MORC4"
"1377","TCEAL4"
"1378","BEX1"
"1379","EPHB2"
"1380","PLAAT4"
