"","x"
"1959","MX1"
"1960","C2CD2"
"1961","UBN2"
"1962","WDR19"
"1963","SKI"
"1964","UBXN11"
"1965","NCK1"
"1966","PRXL2C"
"1967","ABHD3"
"1968","FAIM"
"1969","TENT5B"
"1970","CLSTN2"
"1971","COLEC12"
"1972","TSR2"
"1973","ZFAND2B"
"1974","GDPD5"
"1975","COPG2"
"1976","GPAT4"
"1977","DUSP23"
"1978","NBL1"
"1979","USF1"
"1980","NIT1"
"1981","DEDD"
"1982","PINK1"
"1983","B4GALT3"
"1984","MIS18A"
"1985","PAXBP1"
"1986","IFNAR2"
"1987","MRPL10"
"1988","SV2A"
"1989","RCAN1"
"1990","ADIPOR1"
"1991","CYB5R1"
"1992","PSMD4"
"1993","HK2"
"1994","ALDH4A1"
"1995","THEM4"
"1996","MED8"
"1997","EFCAB14"
"1998","SPON2"
"1999","CHCHD6"
"2000","ATP6V0D1"
"2001","ZYX"
"2002","CCDC117"
"2003","CCDC28B"
"2004","BSDC1"
"2005","ATAD3B"
"2006","ZNF362"
"2007","PDE9A"
"2008","NDUFV3"
"2009","TRAPPC10"
"2010","CFAP410"
"2011","SPATC1L"
"2012","LSS"
"2013","C21orf58"
"2014","DIP2A"
"2015","PRMT2"
"2016","ADAMTS13"
"2017","CACFD1"
"2018","ZNF761"
"2019","GPSM1"
"2020","RDH13"
"2021","ZDHHC12"
"2022","BRSK1"
"2023","TAOK1"
"2024","TLCD1"
"2025","FLAD1"
"2026","SHC1"
"2027","ADAR"
"2028","IL6R"
"2029","RUSC1"
"2030","CCDC12"
"2031","GPATCH4"
"2032","LY6E"
"2033","PWWP3A"
"2034","ORAI2"
"2035","MRNIP"
"2036","MFSD12"
"2037","DVL3"
"2038","SAP30BP"
"2039","PRPSAP1"
"2040","CYGB"
"2041","MPP3"
"2042","JOSD2"
"2043","GRASP"
"2044","SENP3"
"2045","MEIOB"
"2046","AMDHD2"
"2047","ADCY9"
"2048","CYB561A3"
"2049","UBXN1"
"2050","MAGOH"
"2051","USP24"
"2052","PLPP3"
"2053","AK4"
"2054","SYNC"
"2055","ALPL"
"2056","MXRA8"
"2057","FAAP20"
"2058","MEGF6"
"2059","DNAJB4"
"2060","ADGRL4"
"2061","C1orf52"
"2062","GBP2"
"2063","ATXN7L2"
"2064","ZNF326"
"2065","KCNT2"
"2066","ARPC5"
"2067","CADM3"
"2068","IGSF8"
"2069","PEA15"
"2070","PEX19"
"2071","NCSTN"
"2072","VANGL2"
"2073","OLFML2B"
"2074","FCRLB"
"2075","C1orf74"
"2076","KIF26B"
"2077","TFB2M"
"2078","CNST"
"2079","PKDCC"
"2080","B3GALNT2"
"2081","MAPKAPK2"
"2082","CAPN2"
"2083","MRPL55"
"2084","PEX13"
"2085","MEMO1"
"2086","TYW5"
"2087","FRZB"
"2088","ACTG2"
"2089","WDCP"
"2090","COQ8A"
"2091","SGCB"
"2092","SPATA18"
"2093","LYSMD1"
"2094","BOLA3"
"2095","S100A11"
"2096","DHX57"
"2097","GNPDA2"
"2098","PAQR3"
"2099","ANTXR2"
"2100","GPR155"
"2101","DAPL1"
"2102","PMVK"
"2103","PBXIP1"
"2104","CLDN1"
"2105","COL6A3"
"2106","SLC22A15"
"2107","ATP1A1"
"2108","FSTL1"
"2109","TMEM183A"
"2110","IGFBP7"
"2111","TRIM46"
"2112","ARPC2"
"2113","TMEM79"
"2114","AZI2"
"2115","TGFBR2"
"2116","FBLN2"
"2117","SUCLG1"
"2118","PRKCI"
"2119","IFI16"
"2120","AIM2"
"2121","CCDC191"
"2122","PTPN13"
"2123","ADAMTS9"
"2124","CCNL1"
"2125","SMIM14"
"2126","APBB2"
"2127","PCOLCE2"
"2128","TOPBP1"
"2129","KIAA1143"
"2130","LZTFL1"
"2131","FYCO1"
"2132","ELP6"
"2133","DTX3L"
"2134","SMIM12"
"2135","TPRA1"
"2136","KLF15"
"2137","SLBP"
"2138","ERMAP"
"2139","AIMP1"
"2140","BDH2"
"2141","PGRMC2"
"2142","PLXNB1"
"2143","ATRIP"
"2144","SHISA5"
"2145","SPRY1"
"2146","INTU"
"2147","ABHD18"
"2148","PPM1M"
"2149","WDR82"
"2150","PRSS12"
"2151","HMGB2"
"2152","ANXA5"
"2153","FBXO8"
"2154","GASK1B"
"2155","LSM6"
"2156","EDIL3"
"2157","STARD4"
"2158","F2RL2"
"2159","CMBL"
"2160","AGGF1"
"2161","WDR41"
"2162","ARSK"
"2163","SERINC5"
"2164","PRIMPOL"
"2165","CFAP97"
"2166","RICTOR"
"2167","ANKRA2"
"2168","NSA2"
"2169","CREBRF"
"2170","DCBLD1"
"2171","STXBP5"
"2172","STK17A"
"2173","SAP30L"
"2174","CAMLG"
"2175","BMPER"
"2176","ZNF12"
"2177","USP49"
"2178","SYTL3"
"2179","FABP5"
"2180","BRI3"
"2181","SUN3"
"2182","MED30"
"2183","PHKG1"
"2184","MICALL2"
"2185","FMC1"
"2186","ALDH7A1"
"2187","OSR2"
"2188","NFIL3"
"2189","METTL2B"
"2190","GKAP1"
"2191","PGAP4"
"2192","MELK"
"2193","ARHGAP12"
"2194","HECTD2"
"2195","WRN"
"2196","CFL2"
"2197","ZCCHC24"
"2198","MICU2"
"2199","PCF11"
"2200","DEPP1"
"2201","ZNF22"
"2202","KLHDC2"
"2203","NEMF"
"2204","FAM204A"
"2205","ENTR1"
"2206","HPRT1"
"2207","DIPK1B"
"2208","ZMYND19"
"2209","JCAD"
"2210","METTL17"
"2211","ARHGEF40"
"2212","CCDC186"
"2213","FRAT1"
"2214","UBTD1"
"2215","E2F7"
"2216","ISCA2"
"2217","IFI27L1"
"2218","HACD1"
"2219","SMCO4"
"2220","JAM3"
"2221","GPT2"
"2222","RAB8B"
"2223","IKBIP"
"2224","NDUFB8"
"2225","ZFYVE19"
"2226","CKB"
"2227","DPCD"
"2228","NOLC1"
"2229","COPS2"
"2230","PCBD1"
"2231","CLMP"
"2232","FAM227B"
"2233","BORCS7"
"2234","SMPD1"
"2235","APBB1"
"2236","IFTAP"
"2237","SERPINB8"
"2238","ZMAT1"
"2239","XRRA1"
"2240","DENND2B"
"2241","CENPN"
"2242","AKIP1"
"2243","HDGFL3"
"2244","NDST2"
"2245","MCM7"
"2246","CCDC68"
"2247","TMED3"
"2248","CENPV"
"2249","B2M"
"2250","CASC4"
"2251","SLFN5"
"2252","BMERB1"
"2253","CIAO2A"
"2254","KIF7"
"2255","NAV2"
"2256","C18orf54"
"2257","TERF2IP"
"2258","CLPX"
"2259","VPS39"
"2260","MRPL16"
"2261","SCG5"
"2262","GREM1"
"2263","MARS1"
"2264","NUDT21"
"2265","PBX3"
"2266","SAMD14"
"2267","CERCAM"
"2268","ENDOG"
"2269","PRRX2"
"2270","C15orf39"
"2271","COQ7"
"2272","GPRC5B"
"2273","FBXO22"
"2274","ZNF91"
"2275","POP5"
"2276","TEPSIN"
"2277","ACAA2"
"2278","STIM1"
"2279","ZNF180"
"2280","PPP2R3B"
"2281","ZNF646"
"2282","TRAPPC2L"
"2283","SPATA33"
"2284","CACNB3"
"2285","TUBA1C"
"2286","ZNF528"
"2287","ZNF701"
"2288","ZNF283"
"2289","EEF2"
"2290","UBXN6"
"2291","GLOD4"
"2292","SLC43A2"
"2293","RILP"
"2294","WDR81"
"2295","SRR"
"2296","HSD11B1L"
"2297","CYB5D2"
"2298","ZNF83"
"2299","OTUB1"
"2300","NDUFV1"
"2301","NUDT8"
"2302","PRDX2"
"2303","ZNF232"
"2304","MRPL58"
"2305","ATP5PD"
"2306","SRP68"
"2307","FAM234A"
"2308","ZNF598"
"2309","MLST8"
"2310","E4F1"
"2311","ECI1"
"2312","KCTD5"
"2313","SDHAF2"
"2314","BEST1"
"2315","SPINDOC"
"2316","COPS6"
"2317","ANKS3"
"2318","NUDT16L1"
"2319","KIAA1586"
"2320","RNF187"
"2321","UBTD2"
"2322","NKIRAS2"
"2323","COA6"
"2324","MMADHC"
