Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Cell_Type,Well_Size,MSC_Media,Sample,Passage,Position,Absorbance_Rep,Absorbance_Value
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B2,2,0.121
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B3,3,0.121
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B4,4,0.125
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B5,5,0.123
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B6,6,0.124
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B7,7,0.121
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B8,8,0.12
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B9,9,0.122
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,6W,2B,H4-M,p13+24+15,B10,10,0.122
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C1,1,0.873
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C2,2,0.882
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C3,3,0.901
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C4,4,0.864
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C5,5,0.886
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C6,6,0.88
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C7,7,0.879
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C8,8,0.892
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C9,9,0.888
Human,Human Osteoblast,H4,H4 Osteoblast,H28834,H28834 Osteoblast,Osteoblast,6W,2B,H4-O,p13+24+13,C10,10,0.853
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F1,1,0.119
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F2,2,0.152
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F3,3,0.117
Chimpanzee,Chimpanzee MSC,C5,C5 MSC,C40280,C40280 MSC,MSC,12W,2B,C5-M,p15+23+11,F4,4,0.111
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F5,1,0.131
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F6,2,0.117
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F7,3,0.125
Human,Human MSC,H5,H5 MSC,H21792,H21792 MSC,MSC,12W,2B,H5-M,p15+20+11,F8,4,0.127
Chimpanzee,Chimpanzee Osteoblast,C5,C5 Osteoblast,C40280,C40280 Osteoblast,Osteoblast,12W,2B,C5-O,p15+28+10,F9,1,0.134
Chimpanzee,Chimpanzee Osteoblast,C5,C5 Osteoblast,C40280,C40280 Osteoblast,Osteoblast,12W,2B,C5-O,p15+28+10,F10,2,0.142
Chimpanzee,Chimpanzee Osteoblast,C5,C5 Osteoblast,C40280,C40280 Osteoblast,Osteoblast,12W,2B,C5-O,p15+28+10,F11,3,0.157
Chimpanzee,Chimpanzee Osteoblast,C5,C5 Osteoblast,C40280,C40280 Osteoblast,Osteoblast,12W,2B,C5-O,p15+28+10,F12,4,0.14
Human,Human Osteoblast,H5,H5 Osteoblast,H21792,H21792 Osteoblast,Osteoblast,12W,2B,H5-O,p15+20+11,G1,1,1.409
Human,Human Osteoblast,H5,H5 Osteoblast,H21792,H21792 Osteoblast,Osteoblast,12W,2B,H5-O,p15+20+11,G2,2,1.436
Human,Human Osteoblast,H5,H5 Osteoblast,H21792,H21792 Osteoblast,Osteoblast,12W,2B,H5-O,p15+20+11,G3,3,1.421
Human,Human Osteoblast,H5,H5 Osteoblast,H21792,H21792 Osteoblast,Osteoblast,12W,2B,H5-O,p15+20+11,G4,4,1.4217
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,D1,1,0.121
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,D2,2,0.128
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,D3,3,0.122
Chimpanzee,Chimpanzee MSC,C6,C6 MSC,C3624,C3624 MSC,MSC,12W,3B,C6-M,p18+31+10,D4,4,0.123
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,D5,1,0.118
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,D6,2,0.119
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,D7,3,0.117
Human,Human MSC,H6,H6 MSC,H20961,H20961 MSC,MSC,12W,3B,H6-M,p13+28+8,D8,4,0.118
Chimpanzee,Chimpanzee Osteoblast,C6,C6 Osteoblast,C3624,C3624 Osteoblast,Osteoblast,12W,3B,C6-O,p18+31+7,D9,1,1.477
Chimpanzee,Chimpanzee Osteoblast,C6,C6 Osteoblast,C3624,C3624 Osteoblast,Osteoblast,12W,3B,C6-O,p18+31+7,D10,2,1.447
Chimpanzee,Chimpanzee Osteoblast,C6,C6 Osteoblast,C3624,C3624 Osteoblast,Osteoblast,12W,3B,C6-O,p18+31+7,D11,3,1.451
Chimpanzee,Chimpanzee Osteoblast,C6,C6 Osteoblast,C3624,C3624 Osteoblast,Osteoblast,12W,3B,C6-O,p18+31+7,D12,4,1.438
Human,Human Osteoblast,H6,H6 Osteoblast,H20961,H20961 Osteoblast,Osteoblast,12W,3B,H6-O,p13+28+8,E1 ,1,3.832
Human,Human Osteoblast,H6,H6 Osteoblast,H20961,H20961 Osteoblast,Osteoblast,12W,3B,H6-O,p13+28+8,E2,2,3.824
Human,Human Osteoblast,H6,H6 Osteoblast,H20961,H20961 Osteoblast,Osteoblast,12W,3B,H6-O,p13+28+8,E3,3,3.822
Human,Human Osteoblast,H6,H6 Osteoblast,H20961,H20961 Osteoblast,Osteoblast,12W,3B,H6-O,p13+28+8,E4,4,3.851
