Species,Species_Details,Abbr,Abbr_Details,Name,Name_Details,Cell_Type,Well_Size,MSC_Media,Sample,Passage,Position,Absorbance_Rep,Absorbance_Value
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C10,2,0.446
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C11,3,0.446
Human,Human MSC,H3,H3 MSC,H28126,H28126 MSC,MSC,12W,1A,H3-M,p15+28+10,C12,4,0.307
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D1,1,0.43
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D2,2,0.458
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D3,3,0.457
Chimpanzee,Chimpanzee MSC,C3,C3 MSC,C3649,C3649 MSC,MSC,12W,3B,C3-M,p15+18+18,D4,4,0.305
Human,Human Adipocyte,H3,H3 Adipocyte,H28126,H28126 Adipocyte,Adipocyte,12W,1A,H3-A,p15+28+11,D5,1,0.496
Human,Human Adipocyte,H3,H3 Adipocyte,H28126,H28126 Adipocyte,Adipocyte,12W,1A,H3-A,p15+28+11,D6,2,0.529
Human,Human Adipocyte,H3,H3 Adipocyte,H28126,H28126 Adipocyte,Adipocyte,12W,1A,H3-A,p15+28+11,D7,3,0.526
Human,Human Adipocyte,H3,H3 Adipocyte,H28126,H28126 Adipocyte,Adipocyte,12W,1A,H3-A,p15+28+11,D8,4,0.36
Chimpanzee,Chimpanzee Adipocyte,C3,C3 Adipocyte,C3649,C3649 Adipocyte,Adipocyte,12W,3B,C3-A,p15+18+19,D9,1,2.337
Chimpanzee,Chimpanzee Adipocyte,C3,C3 Adipocyte,C3649,C3649 Adipocyte,Adipocyte,12W,3B,C3-A,p15+18+19,D10,2,2.337
Chimpanzee,Chimpanzee Adipocyte,C3,C3 Adipocyte,C3649,C3649 Adipocyte,Adipocyte,12W,3B,C3-A,p15+18+19,D11,3,2.323
Chimpanzee,Chimpanzee Adipocyte,C3,C3 Adipocyte,C3649,C3649 Adipocyte,Adipocyte,12W,3B,C3-A,p15+18+19,D12,4,1.433
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,12W,2B,H4-M,p13+24+9,E1,1,0.401
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,12W,2B,H4-M,p13+24+9,E2,2,0.448
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,12W,2B,H4-M,p13+24+9,E3,3,0.457
Human,Human MSC,H4,H4 MSC,H28834,H28834 MSC,MSC,12W,2B,H4-M,p13+24+9,E4,4,0.279
Chimpanzee,Chimpanzee MSC,C4,C4 MSC,C40210,C40210 MSC,MSC,12W,2B,C4-M,p15+16+12,E5,1,0.271
Chimpanzee,Chimpanzee MSC,C4,C4 MSC,C40210,C40210 MSC,MSC,12W,2B,C4-M,p15+16+12,E6,2,0.275
Chimpanzee,Chimpanzee MSC,C4,C4 MSC,C40210,C40210 MSC,MSC,12W,2B,C4-M,p15+16+12,E7,3,0.273
