"","cell.subset","gene","logFC","FDR"
"141","Time 1","PAXIP1",-0.925833407700709,0.000897227421948511
"142","Time 2","PAXIP1",-0.719620846866645,0.00120121019687645
"143","Time 1","PCBD2",-0.89660117174475,0.00991474053150008
"144","Time 2","PCBD2",-0.94763375222445,0.0026875423469752
"145","Time 1","PERP",4.70243463516131,0.000609224587234844
"146","Time 2","PERP",4.81930690316708,0.00613780290861959
"147","Time 1","PEX11B",1.32676327188126,0.000316820657757954
"148","Time 2","PEX11B",1.09113137866843,0.00566178658648964
"149","Time 1","PITPNA",-0.626834383734953,0.00958754242482523
"150","Time 2","PITPNA",-0.826114928065434,0.00284598992345274
"151","Time 1","PLEKHG5",2.48971746853522,0.000505385948305289
"152","Time 2","PLEKHG5",2.4530182423892,0.00201522382424264
"153","Time 1","PLK3",1.26335068132194,0.00457894260841739
"154","Time 2","PLK3",1.35845754112925,0.00232356490742417
"155","Time 1","POR",-0.741485140887667,0.00410368868572754
"156","Time 2","POR",-0.877363345102827,0.0091428504756511
"157","Time 1","PYGL",-1.75752663987044,0.00332766585492521
"158","Time 2","PYGL",-1.53766713058768,0.00670623234423604
"159","Time 1","RABEP2",1.02992313424995,0.000684294992738093
"160","Time 2","RABEP2",0.681130341794146,0.00431599168023862
"161","Time 1","RNF187",1.4711927863126,2.31989981634144e-05
"162","Time 2","RNF187",1.65013342528922,0.00575765979601947
"163","Time 1","SAMD14",2.15922068918964,0.00845284613611943
"164","Time 2","SAMD14",2.40214398960644,0.00540843558344975
"165","Time 1","SCD5",4.71184344980243,0.00429854368588591
"166","Time 2","SCD5",4.78235707605533,0.00981326349526205
"167","Time 1","SLC25A38",-0.962855702512497,0.00271207414239799
"168","Time 2","SLC25A38",-1.19789851533146,0.000452063117366737
"169","Time 1","SLC4A7",1.6017573422435,0.00702217868080248
"170","Time 2","SLC4A7",1.87225793850714,0.00737783534004343
"171","Time 1","SMPD2",-1.40117221152008,2.67550918621096e-05
"172","Time 2","SMPD2",-1.79220540014889,0.000388135553143574
"173","Time 1","SPIN2A",-4.33394834867368,0.000216319506400215
"174","Time 2","SPIN2A",-4.17703635495154,0.00137283338270435
"175","Time 1","STK17A",1.79176362843074,0.00403724937979337
"176","Time 2","STK17A",1.89084424428359,0.00459018761053023
"177","Time 1","SWSAP1",-0.669135674254216,0.00951760569325485
"178","Time 2","SWSAP1",-1.1866591632632,0.00215722413271858
"179","Time 1","SWT1",-1.17940300185713,0.00385821728105952
"180","Time 2","SWT1",-1.00283183764891,0.00545595768259122
"181","Time 1","TBC1D22A",-0.449149381929432,0.00178509122806769
"182","Time 2","TBC1D22A",-0.854089293370345,0.00670623234423604
"183","Time 1","TERF2IP",1.35993475686687,0.00226634244252018
"184","Time 2","TERF2IP",0.939990829484909,0.00653980943691629
"185","Time 1","TMEM121",2.35187358179421,0.00225934639045354
"186","Time 2","TMEM121",3.64251331804578,0.00104265466698323
"187","Time 1","TMEM267",1.12050207692377,0.00921969779637246
"188","Time 2","TMEM267",1.88465594867584,2.55644057852701e-05
"189","Time 1","TMEM38B",-2.46986827215034,0.000110089697516895
"190","Time 2","TMEM38B",-1.77385989440183,0.00324506251680817
"191","Time 1","TNFRSF25",2.62082818063791,0.000279350150857481
"192","Time 2","TNFRSF25",2.77725080788869,0.000568288790611297
"193","Time 1","TPST2",2.24178712048627,0.0023582120227975
"194","Time 2","TPST2",2.53954243667205,0.00311470180403386
"195","Time 1","TSR3",0.881250317908301,0.00060497468783316
"196","Time 2","TSR3",1.10898155765731,0.00180606205314617
"197","Time 1","TXNL4B",-1.16469173790423,0.00294988014174024
"198","Time 2","TXNL4B",-1.22033443412264,0.00262904854276548
"199","Time 1","VANGL2",3.18411433294231,0.00417202859709768
"200","Time 2","VANGL2",4.34626615909657,0.00207391424486235
"201","Time 1","ZDHHC18",-0.80690405675269,0.00990243748429651
"202","Time 2","ZDHHC18",-1.29958432283742,0.00638032575863167
"203","Time 1","ZMAT5",-0.605870839512836,0.0027391072530834
"204","Time 2","ZMAT5",-0.751289803606754,0.00115404192352704
"205","Time 1","ZNF253",-1.15647856870617,0.00283744780346683
"206","Time 2","ZNF253",-1.48185322495448,0.00540909898655077
"207","Time 1","ZNF586",-0.699129945487284,0.00504842988525467
"208","Time 2","ZNF586",-0.931188795745507,0.00551405200624455
