"","cell.subset","gene","logFC","FDR"
"31","Time 0","ASAH2",-0.880797918617131,0.00444737139362985
"32","Time 1","ASAH2",-1.83706135411332,1.55525709802258e-05
"33","Time 2","ASAH2",-2.07764609767723,7.12647084024479e-05
"34","Time 0","ATP5MC2",-0.948534999078011,0.000642906172309461
"35","Time 1","ATP5MC2",-1.04735725363056,0.00299410334920556
"36","Time 2","ATP5MC2",-0.975546499503861,0.00652653264846556
"37","Time 0","ATP6AP2",0.615178291725043,0.00532473849406215
"38","Time 1","ATP6AP2",0.823832631482694,0.00603173731296736
"39","Time 2","ATP6AP2",1.15345405688424,0.00431599168023862
"40","Time 0","ATP6V1E2",2.31871631787528,0.000184970247191338
"41","Time 1","ATP6V1E2",3.26269483670828,0.000249312426215451
"42","Time 2","ATP6V1E2",3.30032403780027,0.000814105319288237
"43","Time 0","BCAP29",1.31298242355413,0.00376738464155789
"44","Time 1","BCAP29",1.51887504245008,0.00103824527161465
"45","Time 2","BCAP29",1.13828008643054,0.00159924625494437
"46","Time 0","BCAP31",4.59649955708961,2.93427089852117e-07
"47","Time 1","BCAP31",5.14874366753951,4.94258341377911e-07
"48","Time 2","BCAP31",4.28948510938653,1.80316177544535e-05
"49","Time 0","BSDC1",1.71412151199795,0.000385214564404906
"50","Time 1","BSDC1",2.23103060720481,0.000215241146917644
"51","Time 2","BSDC1",2.00910453623265,0.00112035554603539
"52","Time 0","C10orf143",-3.14526363222713,9.40595392455819e-06
"53","Time 1","C10orf143",-3.14779181654,0.000113776495137056
"54","Time 2","C10orf143",-2.17566933428458,1.80316177544535e-05
"55","Time 0","C11orf1",0.928117216903229,0.000813257193230296
"56","Time 1","C11orf1",0.921603048825702,0.00442193862428937
"57","Time 2","C11orf1",0.953488341534689,0.00537409651002752
"58","Time 0","C16orf91",1.40248523101397,2.132708891274e-05
"59","Time 1","C16orf91",1.15101797182817,0.000260412954862398
"60","Time 2","C16orf91",1.1483836200728,0.00348053147683649
"61","Time 0","C16orf95",-3.81649974763676,1.19060556520679e-05
"62","Time 1","C16orf95",-2.53442638618048,0.00114480790193196
"63","Time 2","C16orf95",-2.13353578120401,7.80876474281637e-05
"64","Time 0","C2orf92",-1.87616808527717,0.000935151204984135
"65","Time 1","C2orf92",-1.65077446114161,0.00294995018750274
"66","Time 2","C2orf92",-1.57424252149598,0.0050798544017531
"67","Time 0","C7orf31",-1.32013533204775,0.000373004661877923
"68","Time 1","C7orf31",-2.92451115583778,0.000290692090948137
"69","Time 2","C7orf31",-2.14069219503755,0.000708151464560125
"70","Time 0","CCDC90B",0.855434922236457,0.00466810891293935
"71","Time 1","CCDC90B",0.971875797897003,0.00576502588587795
"72","Time 2","CCDC90B",0.782613349149043,0.00859542633918062
"73","Time 0","CCNB1IP1",2.81226370509951,7.14958193067992e-06
"74","Time 1","CCNB1IP1",2.25778215734164,0.000307603629996768
"75","Time 2","CCNB1IP1",2.57383410004466,0.00163226092733797
"76","Time 0","CCNY",0.709547097762169,0.000157292937300427
"77","Time 1","CCNY",0.788237327736073,0.00114480790193196
"78","Time 2","CCNY",0.839910425505685,0.00896657454643363
"79","Time 0","CEP19",-0.848507782624715,0.000457393848160212
"80","Time 1","CEP19",-1.53543886856346,0.00114480790193196
"81","Time 2","CEP19",-0.941429842859506,0.00491769080569763
"82","Time 0","CLN3",-2.26790401689459,0.000140754329236583
"83","Time 1","CLN3",-2.59804771826704,0.000965863524711602
"84","Time 2","CLN3",-2.62427842088151,0.000568288790611297
"85","Time 0","COPG2",-1.43617072769878,4.52772082078552e-05
"86","Time 1","COPG2",-1.55096798916842,0.00450131042327672
"87","Time 2","COPG2",-1.34283958562924,0.00565524740147521
"88","Time 0","COX15",-0.903379089428607,7.8613004826728e-05
"89","Time 1","COX15",-1.28860254794347,9.75994086996946e-05
"90","Time 2","COX15",-1.17098628599931,0.00431599168023862
"91","Time 0","CPT1C",-2.63727461032946,0.00120733367376013
"92","Time 1","CPT1C",-3.13236876312023,0.00115101136245703
"93","Time 2","CPT1C",-2.78854687294402,0.00905967038369045
"94","Time 0","CROCC",-0.699280927506341,0.00167226601201256
"95","Time 1","CROCC",2.06805262600079,0.000102804633659911
"96","Time 2","CROCC",1.69055410991942,0.00431599168023862
"97","Time 0","CTSF",-6.69281878505961,1.49835154533335e-07
"98","Time 1","CTSF",-7.11490065044822,5.99786538087649e-06
"99","Time 2","CTSF",-7.71188074939315,5.47688534921499e-05
"100","Time 0","DDT",-4.05945195260105,1.15057893995897e-05
"101","Time 1","DDT",-4.72426898024326,0.000264735929075025
"102","Time 2","DDT",-4.34082172878532,0.000508289429162333
"103","Time 0","DDX59",1.92710131941363,0.000191627200917658
"104","Time 1","DDX59",1.90911377914481,0.000160878476660783
"105","Time 2","DDX59",1.5385102768224,0.00215722413271858
"106","Time 0","DHRS12",3.10530359019734,4.34243536451938e-05
"107","Time 1","DHRS12",3.69965942107883,4.23703176693214e-05
"108","Time 2","DHRS12",4.53963729743845,3.72393850561308e-07
"109","Time 0","DHTKD1",0.835690944378471,0.00965929487721058
"110","Time 1","DHTKD1",1.3278188824083,0.00389433512613346
"111","Time 2","DHTKD1",1.31386501734243,0.00870483792958115
"112","Time 0","DNAJC4",1.06440835410934,0.00130754916451277
"113","Time 1","DNAJC4",1.38367096624466,0.00462543430677526
"114","Time 2","DNAJC4",1.88251155135531,0.00031277157127518
"115","Time 0","DPH3",1.60710482255774,2.58822304185818e-05
"116","Time 1","DPH3",0.981499068521435,0.00170463057565462
"117","Time 2","DPH3",0.863519885605871,0.00812120060444693
"118","Time 0","DPY19L2",-1.2458538423039,0.00133618852224035
"119","Time 1","DPY19L2",-2.24425236428986,0.000627899479781645
"120","Time 2","DPY19L2",-2.25039915151094,0.00659992805295743
"121","Time 0","EGFL7",0.910975417243581,0.00127410529160917
"122","Time 1","EGFL7",2.1696539458181,0.00755050897980061
"123","Time 2","EGFL7",2.89605344849822,0.00749916692573289
"124","Time 0","EI24",1.17617624138292,0.000815610231293769
"125","Time 1","EI24",0.761306016946065,0.00577431282566041
"126","Time 2","EI24",0.707457628328307,0.00357083736504203
"127","Time 0","EMD",0.878774212990145,0.00178282062855945
"128","Time 1","EMD",0.573888633798151,0.00467484590388947
"129","Time 2","EMD",0.58181089117251,0.000278131812010279
"130","Time 0","EOLA1",3.66184645659211,4.50787093873718e-05
"131","Time 1","EOLA1",3.11184195127015,2.19867200045571e-05
"132","Time 2","EOLA1",3.08841506089096,4.68974148137177e-05
"133","Time 0","EXOSC3",2.13418613307063,2.79371282885877e-05
"134","Time 1","EXOSC3",1.4832183063609,0.00154237769532374
"135","Time 2","EXOSC3",1.31649764145763,0.00695523255527766
"136","Time 0","EXOSC4",9.99434756726752,1.00041284551186e-07
"137","Time 1","EXOSC4",10.3379964231714,8.71982234966815e-07
"138","Time 2","EXOSC4",10.8378106615463,1.04522421171626e-05
"139","Time 0","FAHD2A",1.11776831163971,0.0025855367190602
"140","Time 1","FAHD2A",1.92862708323649,0.000122342085448989
"141","Time 2","FAHD2A",1.50129209548925,0.0050798544017531
"142","Time 0","FAM227B",3.25802326350241,3.36002431026733e-05
"143","Time 1","FAM227B",2.83615257309875,0.000851237267275707
"144","Time 2","FAM227B",2.75108421047256,0.00214205142761242
"145","Time 0","FCGBP",-3.13248020319292,2.89865293477975e-05
"146","Time 1","FCGBP",-5.60516669051362,0.000111550486496695
"147","Time 2","FCGBP",-4.48731824640485,0.000300432129208005
"148","Time 0","FKBP1C",-6.35756785253214,8.23731774050733e-07
"149","Time 1","FKBP1C",-5.8441514778337,5.54677680828508e-07
"150","Time 2","FKBP1C",-6.21073052353662,0.000745359332449869
"151","Time 0","GAS8",-1.06545445919974,0.000996792077809023
"152","Time 1","GAS8",-2.46658092037434,0.000132369556592112
"153","Time 2","GAS8",-4.06220372576826,5.47954835810382e-05
"154","Time 0","GEMIN6",-0.807478426121053,0.00600355724493673
"155","Time 1","GEMIN6",-1.12899047738805,0.0066676979313285
"156","Time 2","GEMIN6",-1.13024444561116,0.000745359332449869
"157","Time 0","GNB5",0.659436004664662,0.00383000610762754
"158","Time 1","GNB5",2.07917344888292,0.00433533623440149
"159","Time 2","GNB5",1.83493861142893,0.000568288790611297
"160","Time 0","GOSR1",2.44457119220953,6.03249345674461e-05
"161","Time 1","GOSR1",1.96876531792821,0.00026857394285837
"162","Time 2","GOSR1",1.65139351703194,0.00244608839918235
"163","Time 0","GRHPR",0.905737215844408,0.00227491563410917
"164","Time 1","GRHPR",0.661993304565117,0.000706260258961099
"165","Time 2","GRHPR",0.627268050021331,0.00647062349957737
"166","Time 0","GSTT2B",-3.94160732797534,0.00102708677704441
"167","Time 1","GSTT2B",-6.0911086428402,0.00134651898841315
"168","Time 2","GSTT2B",-5.65780063329334,0.00266134687474077
"169","Time 0","GTPBP6",1.15736951598621,0.00160870267826153
"170","Time 1","GTPBP6",1.24550257110698,0.000582149074181756
"171","Time 2","GTPBP6",1.28201834933252,0.00218458531630382
"172","Time 0","HAUS2",-0.73067547067209,0.00969947831577384
"173","Time 1","HAUS2",-1.07351649103417,0.00395936086695364
"174","Time 2","HAUS2",-0.85727876157801,8.18287981781519e-05
"175","Time 0","HEBP2",2.65109014022379,0.00120733367376013
"176","Time 1","HEBP2",3.42966127462527,0.00011594687662185
"177","Time 2","HEBP2",3.01711006041587,0.000278131812010279
"178","Time 0","HHLA3",4.64437097876942,7.32331089942501e-06
"179","Time 1","HHLA3",4.21391241953349,5.30818451494874e-05
"180","Time 2","HHLA3",4.69361281881744,8.78766366584264e-06
"181","Time 0","HLA-A",10.3497725216897,1.47568298187187e-06
"182","Time 1","HLA-A",10.9807645229652,6.22944293587814e-06
"183","Time 2","HLA-A",9.96224000477787,5.47954835810382e-05
"184","Time 0","HPS4",-0.92703453849429,0.000497116630433615
"185","Time 1","HPS4",-0.805219395161572,0.000122342085448989
"186","Time 2","HPS4",-0.716728762709967,0.00528267743346497
"187","Time 0","HUS1",1.22637870186757,0.00675402902893901
"188","Time 1","HUS1",1.41234102199839,0.000493516234440985
"189","Time 2","HUS1",1.21918570768415,0.00651516796447762
"190","Time 0","IFNAR1",1.77398820736413,2.91843907631226e-07
"191","Time 1","IFNAR1",0.801289136897687,0.000361431090845462
"192","Time 2","IFNAR1",1.05991125531869,0.00121516567471063
"193","Time 0","IFNAR2",-2.30564324757812,8.57005202026284e-05
"194","Time 1","IFNAR2",-2.10134368885536,6.22944293587814e-06
"195","Time 2","IFNAR2",-1.85974736198627,0.00251196810843344
"196","Time 0","IFT27",1.13147789699471,0.000597879054529727
"197","Time 1","IFT27",1.30729492163481,0.00257520651536629
"198","Time 2","IFT27",1.32014679485642,1.36639367301817e-05
"199","Time 0","IMPACT",1.0938856147856,0.000110699831091371
"200","Time 1","IMPACT",1.40470354891683,0.00797957423208915
"201","Time 2","IMPACT",1.55671315866529,0.00775115122000605
"202","Time 0","INO80E",-0.788859807497245,0.000373004661877923
"203","Time 1","INO80E",-0.870056007818098,0.000563361680759717
"204","Time 2","INO80E",-1.13000750407192,1.80316177544535e-05
"205","Time 0","ITGAE",2.38827304159869,3.63248962740068e-05
"206","Time 1","ITGAE",2.41089624446646,9.91653205042112e-07
"207","Time 2","ITGAE",1.56527446949946,0.00279864414335315
"208","Time 0","KCTD1",1.13888335509251,0.00148882635263699
"209","Time 1","KCTD1",1.09303433538682,0.00523819109172117
"210","Time 2","KCTD1",0.911379393398703,0.00284598992345274
"211","Time 0","KRT10",1.2698489608872,0.00126189754173575
"212","Time 1","KRT10",1.07743244878409,0.00224836959389372
"213","Time 2","KRT10",1.02887370523232,0.00406184189696589
"214","Time 0","LRIG2",1.97823507655637,0.000107273181061037
"215","Time 1","LRIG2",1.57605639296062,9.28795253137148e-05
"216","Time 2","LRIG2",1.68177422673701,0.000715105904773251
"217","Time 0","LRPPRC",-0.459474769679023,0.00171322812803207
"218","Time 1","LRPPRC",-0.544048775665892,0.00338321611322945
"219","Time 2","LRPPRC",-0.522778491267081,0.00687439197903302
"220","Time 0","MAGIX",1.31387700677942,0.00176157735922493
"221","Time 1","MAGIX",1.71662472451674,0.00524954851998128
"222","Time 2","MAGIX",1.73202677689052,0.00459018761053023
"223","Time 0","MED29",-0.651819205605338,0.00531937504167666
"224","Time 1","MED29",-0.842385507377492,0.00403724937979337
"225","Time 2","MED29",-1.0114990035587,0.0030718152086947
"226","Time 0","MEIG1",-3.60146188620629,0.000833383525288268
"227","Time 1","MEIG1",-3.77966007021088,0.000150640313361633
"228","Time 2","MEIG1",-3.57626529303598,0.00123557808987043
"229","Time 0","MEIOB",-6.20448290241712,2.93427089852117e-07
