GeneName,ENSG,OA.omics
DCPS,ENSG00000110063,1
DDAH1,ENSG00000153904,1
DDR2,ENSG00000162733,1
DDRGK1,ENSG00000198171,1
DDX19A,ENSG00000168872,1
DDX21,ENSG00000165732,1
DDX46,ENSG00000145833,1
DDX47,ENSG00000213782,1
DERA,ENSG00000023697,1
DFNA5,ENSG00000105928,1
DGKA,ENSG00000065357,1
DHODH,ENSG00000102967,1
DNAJC2,ENSG00000105821,1
DPP4,ENSG00000197635,1
DPP7,ENSG00000176978,1
DPYD,ENSG00000188641,1
DSC2,ENSG00000134755,1
EARS2,ENSG00000103356,1
EFEMP1,ENSG00000115380,1
EHHADH,ENSG00000113790,1
EIF2B4,ENSG00000115211,1
EIF2B5,ENSG00000145191,1
ELMO1,ENSG00000155849,1
ENO1,ENSG00000074800,1
EPB41,ENSG00000159023,1
EPB41L3,ENSG00000082397,1
EPS8L2,ENSG00000177106,1
ERG,ENSG00000157554,1
ERP44,ENSG00000023318,1
EXD2,ENSG00000081177,1
EXOSC4,ENSG00000178896,1
EXOSC8,ENSG00000120699,1
FABP5,ENSG00000164687,1
FAM98A,ENSG00000119812,1
FAP,ENSG00000078098,1
FARSB,ENSG00000116120,1
FBLN1,ENSG00000077942,1
FDFT1,ENSG00000079459,1
FDPS,ENSG00000160752,1
FGD5,ENSG00000154783,1
FGF1,ENSG00000113578,1
FLOT2,ENSG00000132589,1
FN1,ENSG00000115414,1
FRZB,ENSG00000162998,1
FST,ENSG00000134363,1
FSTL1,ENSG00000163430,1
FTL,ENSG00000087086,1
GADD45GIP1,ENSG00000179271,1
GALE,ENSG00000117308,1
GALNT10,ENSG00000164574,1
GALNT15,ENSG00000131386,1
GALNT16,ENSG00000100626,1
GCLM,ENSG00000023909,1
GFPT2,ENSG00000131459,1
GGCT,ENSG00000006625,1
GGH,ENSG00000137563,1
GLB1,ENSG00000170266,1
GLO1,ENSG00000124767,1
GLRX,ENSG00000173221,1
GLRX3,ENSG00000108010,1
GLRX5,ENSG00000182512,1
GNL3,ENSG00000163938,1
GNPDA1,ENSG00000113552,1
GNPNAT1,ENSG00000100522,1
GNS,ENSG00000135677,1
GPHN,ENSG00000171723,1
GPT2,ENSG00000166123,1
GPX8,ENSG00000164294,1
GRN,ENSG00000030582,1
GRWD1,ENSG00000105447,1
GSK3B,ENSG00000082701,1
GSTZ1,ENSG00000100577,1
GTF2F2,ENSG00000188342,1
GULP1,ENSG00000144366,1
